epoch,lr-AdamW,step,train_acc,train_loss
,0.0002,0,,
0,,9,0.09375,2.460238218307495
0,,19,0.1875,2.112107276916504
0,,29,0.34375,1.9114320278167725
0,,39,0.25,2.014017105102539
0,,49,0.34375,2.015493154525757
0,,59,0.1875,2.0255227088928223
0,,69,0.25,1.8707150220870972
0,,79,0.1875,2.0165367126464844
0,,89,0.3125,1.935549020767212
0,,99,0.21875,2.3083109855651855
0,,109,0.4375,1.7353429794311523
0,,119,0.3125,1.816948413848877
0,,129,0.28125,1.9680927991867065
0,,139,0.3125,1.8179938793182373
0,,149,0.40625,1.8117444515228271
0,,159,0.28125,1.8395222425460815
0,,169,0.40625,1.939752221107483
0,,179,0.25,2.0558831691741943
0,,189,0.1875,2.2531917095184326
0,,199,0.25,2.0188770294189453
0,,209,0.21875,1.9798325300216675
0,,219,0.1875,1.8114666938781738
0,,229,0.375,1.7546665668487549
0,,239,0.15625,1.9590709209442139
0,,249,0.25,1.9880918264389038
0,,259,0.40625,1.6877210140228271
0,,269,0.25,1.8424493074417114
0,,279,0.25,2.004607915878296
0,,289,0.1875,1.9873350858688354
0,,299,0.1875,1.8615142107009888
0,,309,0.34375,1.8415791988372803
0,,319,0.1875,2.046844482421875
0,,329,0.25,2.2082414627075195
0,,339,0.21875,2.0737223625183105
0,,349,0.3125,1.7724889516830444
0,,359,0.46875,1.5850940942764282
0,,369,0.375,1.7869503498077393
0,,379,0.375,1.7367258071899414
0,,389,0.21875,2.0386013984680176
0,,399,0.28125,1.8126099109649658
0,,409,0.34375,1.8717947006225586
0,,419,0.375,1.7978936433792114
0,,429,0.25,1.920347809791565
0,,439,0.34375,1.7959195375442505
0,,449,0.25,2.115553140640259
0,,459,0.375,1.6367442607879639
0,,469,0.25,1.626526117324829
0,,479,0.375,1.6965115070343018
0,,489,0.40625,1.8078871965408325
0,,499,0.46875,1.697217345237732
0,,509,0.40625,1.6418461799621582
0,,519,0.21875,1.9728419780731201
0,,529,0.3125,1.8099180459976196
0,,539,0.3125,1.6918386220932007
0,,549,0.34375,1.7874130010604858
0,,559,0.28125,1.7306828498840332
0,,569,0.34375,1.524888038635254
0,,579,0.46875,1.581282138824463
0,,589,0.5,1.666775107383728
0,,599,0.3125,1.7635488510131836
0,,609,0.3125,1.6578164100646973
0,,619,0.40625,1.7236069440841675
0,,629,0.28125,1.6567599773406982
0,,639,0.25,1.7844505310058594
0,,649,0.34375,1.7178382873535156
0,,659,0.46875,1.5608220100402832
0,,669,0.40625,1.5201334953308105
0,,679,0.53125,1.4849454164505005
0,,689,0.34375,1.4591434001922607
0,,699,0.3125,1.827663540840149
0,,709,0.34375,1.8156788349151611
0,,719,0.4375,1.780338168144226
0,,729,0.4375,1.673130750656128
0,,739,0.34375,1.7613966464996338
0,,749,0.40625,1.5546369552612305
0,,759,0.46875,1.5020029544830322
0,,769,0.46875,1.4947614669799805
0,,779,0.3125,1.6390562057495117
0,,789,0.34375,1.5719928741455078
0,,799,0.25,1.6662591695785522
